route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
A65,A,103,АВТОСТАНЦИЯ ОВЧА КУПЕЛ - ВЗ. ЛЮЛИН - АВТОСТАНЦИЯ ОВЧА КУПЕЛ,,3,,BE1E2D,FFFFFF,,,
A22,A,56,БУЛ. АЛ. СТАМБОЛИЙСКИ - СЕЛО МАЛО БУЧИНО - БУЛ. АЛ. СТАМБОЛИЙСКИ,,3,,BE1E2D,FFFFFF,,,
A226,A,N3,Ж.К. ЛЕВСКИ Г - Ж.К. ОВЧА КУПЕЛ 2 - Ж.К. ЛЕВСКИ Г,,3,,000000,FFFFFF,,,
A117,A,22ТМ,БУЛ. ХРИСТО БОТЕВ - Ж.К. ЗАПАДЕН ПАРК - БУЛ. ХРИСТО БОТЕВ,,3,,BE1E2D,FFFFFF,,,
A119,A,83А,БАЛКАНКАР АД - БУЛ. ЛОМСКО ШОСЕ - БАЛКАНКАР АД,,3,,BE1E2D,FFFFFF,,,
A54,A,82,Централна гара - ж.к. Люлин -5 - Централна гара,,3,,BE1E2D,FFFFFF,,,
TB37,A,3TM,БУЛ. КН. МАРИЯ ЛУИЗА - ПЛ. ВЪЗРАЖДАНЕ - БУЛ. КН. МАРИЯ ЛУИЗА,,11,,27AAE1,FFFFFF,,,
A43,A,22,СЕЛО ПОДГУМЕР - ЦЕНТРАЛНА ГАРА - СЕЛО ПОДГУМЕР,,3,,BE1E2D,FFFFFF,,,
A9,A,83,БАЛКАНКАР АД - СТАДИОН ЛОКОМОТИВ - БАЛКАНКАР АД,,3,,BE1E2D,FFFFFF,,,
A171,A,59A,МЕТРОСТАНЦИЯ МИЗИЯ - Пл. Сред село - МЕТРОСТАНЦИЯ МИЗИЯ,,3,,BE1E2D,FFFFFF,,,
TB21,A,9А,Ул. Ген. Гурко - АВТОБАЗА ИСКЪР - Ул. Ген. Гурко,,11,,27AAE1,FFFFFF,,,
TM40,A,15,ПЛ. ЖУРНАЛИСТ - Ж.К. БЪКСТОН - ПЛ. ЖУРНАЛИСТ,,0,,F7941D,FFFFFF,,,
A98,A,54,МЕТРОСТАНЦИЯ СЛИВНИЦА - ПЪТЕН ВЪЗЕЛ  КАЛОТИНА - МЕТРОСТАНЦИЯ СЛИВНИЦА,,3,,BE1E2D,FFFFFF,,,
TM27,A,1,Ж.К. ИВАН ВАЗОВ - ПЛ. МАКЕДОНИЯ - Ж.К. ИВАН ВАЗОВ,,0,,F7941D,FFFFFF,,,
A63,A,66,ЗООПАРКА - ХОТЕЛ МОРЕНИ - ЗООПАРКА,,3,,BE1E2D,FFFFFF,,,
A94,A,79А,БУЛ. ИЛИЯНЦИ-ПОДЛЕЗА - УЛ. ТОДОРИНИ КУКЛИ - БУЛ. ИЛИЯНЦИ-ПОДЛЕЗА,,3,,BE1E2D,FFFFFF,,,
A253,A,802,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
A246,A,109,Ж.К. ЛОЗЕНЕЦ - МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН - Ж.К. ЛОЗЕНЕЦ,,3,,BE1E2D,FFFFFF,,,
A264,A,97,СТЦ ИНТЕРПРЕД - ХОТЕЛ АМБАСАДОР - СТЦ ИНТЕРПРЕД,,3,,BE1E2D,FFFFFF,,,
M4,A,M4,Летище София - Витоша - Летище София,,1,,FFDE17,000000,,,
TB24,A,123,ЛИФТА СИМЕОНОВО - АВТОСТАНЦИЯ ГЕО МИЛЕВ - ЛИФТА СИМЕОНОВО,,11,,27AAE1,FFFFFF,,,
A45,A,23,ГАРА КУРИЛО - АВТОСТАНЦИЯ ОРЛАНДОВЦИ - ГАРА КУРИЛО,,3,,BE1E2D,FFFFFF,,,
TM22,A,22,Ж.К. ГЕО МИЛЕВ - Ж.К. КРАСНА ПОЛЯНА - Ж.К. ГЕО МИЛЕВ,,0,,F7941D,FFFFFF,,,
A58,A,280,СТУДЕНТСКИ ГРАД - ВОЕННА АКАДЕМИЯ - СТУДЕНТСКИ ГРАД,,3,,BE1E2D,FFFFFF,,,
A174,A,42A,КРАЯ НА КВ. МИХАЙЛОВО - АВТОСТАНЦИЯ БАНКЯ - КРАЯ НА КВ. МИХАЙЛОВО,,3,,BE1E2D,FFFFFF,,,
TB4,A,8,Метростанция СУ Св. Климент Охридски - Ж.к. Гоце Делчев - Метростанция СУ Св. Климент Охридски,,11,,27AAE1,FFFFFF,,,
TB33,A,6,село Герман - АВТОСТАНЦИЯ ГЕО МИЛЕВ - село Герман,,11,,27AAE1,FFFFFF,,,
A81,A,76,Ж.К. МЛАДОСТ 4 - Ж.к. Гоце Делчев - Ж.К. МЛАДОСТ 4,,3,,BE1E2D,FFFFFF,,,
A95,A,86А,БУЛ. ХРИСТО БОТЕВ - АП МАЛАШЕВЦИ - БУЛ. ХРИСТО БОТЕВ,,3,,BE1E2D,FFFFFF,,,
A12,A,102,СТУДЕНТСКИ ГРАД - Ж.К. ОВЧА КУПЕЛ-2 - СТУДЕНТСКИ ГРАД,,3,,BE1E2D,FFFFFF,,,
TB26,A,184,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1 - УЛ. ГЕН. ГУРКО - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1,,11,,27AAE1,FFFFFF,,,
A249,A,X50,СУ СВ. КЛИМЕНТ ОХРИДСКИ - Парк музей Врана - СУ СВ. КЛИМЕНТ ОХРИДСКИ,,3,,006838,FFFFFF,,,
A106,A,68,КВ. СИМЕОНОВО - Метростанция Витоша - КВ. СИМЕОНОВО,,3,,BE1E2D,FFFFFF,,,
A120,A,108A,Ж.К. ЛЮЛИН -5 - БУЛ. ЛОМСКО ШОСЕ - Ж.К. ЛЮЛИН -5,,3,,BE1E2D,FFFFFF,,,
