trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A99-A3861-5-2-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99535998379791,A3861,0,0
A57-A141-5-15-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5756039780360,A141,0,0
A99-A3861-2-2-12457803130,A99,12457803130,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99212457803130,A3861,0,0
A99-A3861-4-2-12457803130,A99,12457803130,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99412457803130,A3861,0,0
A77-A1725-5-4-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77520602448631,A1725,0,0
A224-A4229-1-5-3256270690,A224,3256270690,Ж.К. МЛАДОСТ-4,,,A22413256270690,A4229,0,0
A243-A3717-1-2-39647842491,A243,39647842491,18 СУ УИЛЯМ ГЛАДСТОН,,,A243139647842491,A3717,0,0
A77-A2544-5-24-20602448631,A77,20602448631,МЕТРОСТАНЦИЯ Г. М. ДИМИТРОВ,,,A77520602448631,A2544,0,0
A77-A1725-6-23-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77620602448631,A1725,0,0
A77-A1725-3-5-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77320602448631,A1725,0,0
A77-A3578-1-4-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77120602448631,A3578,0,0
A224-A4230-1-6-3256270691,A224,3256270691,"Ж.К. ЛЮЛИН-1,2",,,A22413256270691,A4230,0,0
A224-A4230-2-5-3256270690,A224,3256270690,"Ж.К. ЛЮЛИН-1,2",,,A22423256270690,A4230,0,0
A224-A4229-1-3-3256270691,A224,3256270691,Ж.К. МЛАДОСТ-4,,,A22413256270691,A4229,0,0
A224-A4230-1-6-3256270690,A224,3256270690,"Ж.К. ЛЮЛИН-1,2",,,A22413256270690,A4230,0,0
A224-A4229-2-6-3256270691,A224,3256270691,Ж.К. МЛАДОСТ-4,,,A22423256270691,A4229,0,0
